,Questions,Category0,Category1,Category2
1024,What is Nicholas Cage 's occupation ?,HUMAN,HUM,title
1025,What British TV series featured Emma Peel ?,ENTITY,ENTY,cremat
1026,What London street is the home of British journalism ?,LOCATION,LOC,other
1027,What tragedy befell the city of Dogtown in 1899 ?,ENTITY,ENTY,event
1028,What is the Immaculate Conception ?,DESCRIPTION,DESC,def
1029,What are the names of all the U.S. Navy aircraft carriers ?,ENTITY,ENTY,veh
1030,What format was VHS 's main competition ?,ENTITY,ENTY,other
1031,What is Candlemas Day ?,DESCRIPTION,DESC,def
1032,In what city is the famed St. Mark 's Square ?,LOCATION,LOC,city
1033,What does the Ouarterly Review of Doublespeak call an `` inoperative statement '' ?,ENTITY,ENTY,termeq
1034,How much did the minimum wage amount to in 1991 ?,NUMERIC,NUM,money
1035,Where is Tufts University ?,LOCATION,LOC,other
1036,What is a pyrotechnic display ?,DESCRIPTION,DESC,def
1037,How do I find out about jobs ?,DESCRIPTION,DESC,manner
1038,What Japanese manufacturer is known for both its pianos and its motorcycles ?,HUMAN,HUM,gr
1039,What is the chemical reactivity of argon ?,NUMERIC,NUM,other
1040,How many engines does a Boeing 737 have ?,NUMERIC,NUM,count
1041,What is the origin of the term `` The Brooklyn Side '' in bowling ?,DESCRIPTION,DESC,desc
1042,What is a fear of being cold ?,ENTITY,ENTY,dismed
1043,How long was Mao 's 1930s Long March ?,NUMERIC,NUM,dist
1044,What net game sees its women 's world amateur champions receive the Uber Cup ?,ENTITY,ENTY,sport
1045,What four-legged creature did a Cornell University study say would make man 's best companion in space ?,ENTITY,ENTY,animal
1046,What does a teaspoon of matter weigh in a black hole ?,NUMERIC,NUM,weight
1047,"What did British companies stick 175 , 0 tons of tea into in 1982 ?",ENTITY,ENTY,other
1048,What province is Edmonton located in ?,LOCATION,LOC,state
1049,How can I find out how much income tax is paid on Social Security income on the 1998 income tax ?,DESCRIPTION,DESC,manner
1050,Who did Sonny Liston succeed as world heavyweight boxing champion ?,HUMAN,HUM,ind
1051,What is California 's state bird ?,ENTITY,ENTY,animal
1052,What is Martin Luther King Jr. 's real birthday ?,NUMERIC,NUM,date
1053,Name the various super-teams to which the Angel has belonged .,HUMAN,HUM,gr
1054,How does Zatanna perform her magic in DC comics ?,DESCRIPTION,DESC,manner
1055,What 's the name of Jacques Cousteau 's research ship ?,ENTITY,ENTY,veh
1056,What President dispatched a cruiser to carry Charles Lindbergh home after his epic flight ?,HUMAN,HUM,ind
1057,Whose video is titled Shape Up with Arnold ?,HUMAN,HUM,ind
1058,In which Kevin Costner movie did Sioux Indians play a role ?,ENTITY,ENTY,cremat
1059,How many James Bond novels are there ?,NUMERIC,NUM,count
1060,How do you get dates with the `` Hooters '' girls ?,DESCRIPTION,DESC,manner
1061,What bird can swim but can 't fly ?,ENTITY,ENTY,animal
1062,How can I get a comic character I made copyrighted and published ?,DESCRIPTION,DESC,manner
1063,How large is the Arctic refuge to preserve unique wildlife and wilderness value on Alaska 's north coast ?,NUMERIC,NUM,volsize
1064,What is Plc ?,DESCRIPTION,DESC,def
1065,How much electricity does the brain need to work ?,NUMERIC,NUM,count
1066,How many acres in a mile ?,NUMERIC,NUM,count
1067,What Dickens novel has David carrying the message `` Barkis is willin '' to Peggy ?,ENTITY,ENTY,cremat
1068,What is a hyperlink ?,DESCRIPTION,DESC,def
1069,Who 's the twin brother of the Greek goddess Artemis ?,HUMAN,HUM,ind
1070,Where did marijuana come from ?,DESCRIPTION,DESC,desc
1071,"What is the per-capita income of Colombia , South America , ?",NUMERIC,NUM,money
1072,What novel has Big Brother watching ?,ENTITY,ENTY,cremat
1073,How many Grammys did Michael Jackson win in 1983 ?,NUMERIC,NUM,count
1074,What does Elysium mean ?,DESCRIPTION,DESC,def
1075,What is the oldest website on the Internet ?,LOCATION,LOC,other
1076,What is Shalom ?,DESCRIPTION,DESC,def
1077,What was the favorite sport of Tom Wolfe 's The Pump House Gang ?,ENTITY,ENTY,sport
1078,What organic fuel do bog-dwellers use a `` slane '' to cut ?,ENTITY,ENTY,substance
1079,What is the average age of a member of the team that worked on the Manhatten Project ?,NUMERIC,NUM,period
1080,What country received all the Nobel Prizes awarded in 1976 ?,LOCATION,LOC,country
1081,How do you get rid on woodpeckers ?,DESCRIPTION,DESC,manner
1082,How many syllables are there in a line of hendecasyllabic poetry ?,NUMERIC,NUM,count
1083,"What soft drink first appeared in the Old Corner Drug Store in Waco , Texas , in 1885 ?",ENTITY,ENTY,food
1084,What is Britain 's possession on the Chinese mainland ?,LOCATION,LOC,other
1085,Who was America 's first Public Enemy No. 1 ?,HUMAN,HUM,ind
1086,How many children under 18 are victims of some sort of Physical Abuse each year ?,NUMERIC,NUM,count
1087,What is the origin of thank you notes ?,DESCRIPTION,DESC,desc
1088,What did Jimmy Stewart invent ?,ENTITY,ENTY,other
1089,What generation am I in ?,ENTITY,ENTY,other
1090,What is a fear of hell ?,ENTITY,ENTY,dismed
1091,Who is Dear Abby ?,HUMAN,HUM,desc
1092,"Who lives at 24 Sussex Drive , Ottawa ?",HUMAN,HUM,ind
1093,What is Jell-O made from ?,ENTITY,ENTY,substance
1094,Who was Monet ?,HUMAN,HUM,desc
1095,What are the only two states that incorporate the Confederate battle flag in their flags ?,LOCATION,LOC,state
1096,How do you make panoramic sugar eggs for Easter - the ones with the scene inside ?,DESCRIPTION,DESC,manner
1097,What 's the Southern dish made of pigs ' small intestines ?,ENTITY,ENTY,food
1098,Where is Guam ?,LOCATION,LOC,other
1099,Who was the famous door-to-door brush salesman ?,HUMAN,HUM,ind
1100,What is the executor in a will ?,DESCRIPTION,DESC,def
1101,"What inescapable purveyor of background music celebrated its 5th anniversary in July , 1984 ?",HUMAN,HUM,gr
1102,How many people in America snore ?,NUMERIC,NUM,count
1103,Who is always trying to get the rent from Andy Capp ?,HUMAN,HUM,ind
1104,What soft drink is most heavily caffeinated ?,ENTITY,ENTY,food
1105,Who did Jackie Kennedy commission to write The Death of a President ?,HUMAN,HUM,ind
1106,Which drug is commonly used to treat AIDS ?,ENTITY,ENTY,dismed
1107,How many stars are there on the Soviet Union 's flag ?,NUMERIC,NUM,count
1108,What is the difference between microprocessors &amp; microcontrollers ?,DESCRIPTION,DESC,desc
1109,Who sought to create The Great Society ?,HUMAN,HUM,ind
1110,What are tourist attractions in Reims ?,LOCATION,LOC,other
1111,What are the lengths of pearl necklaces ?,NUMERIC,NUM,dist
1112,Who said : `` Soldiers win the battles and generals get the credit '' ?,HUMAN,HUM,ind
1113,What is the proof that houseplants metabolize carcinogens ?,DESCRIPTION,DESC,desc
1114,What prompted the co-pilot of the Enola Gay to enter only `` My God '' in his log ?,DESCRIPTION,DESC,reason
1115,How long does it take the typical hen to lay 19 dozen eggs ?,NUMERIC,NUM,period
1116,What Colorado city owns its own glacier ?,LOCATION,LOC,city
1117,What is the history of `` the toast '' ?,DESCRIPTION,DESC,desc
1118,What was the name of the Protestant revolt against the supremacy of the Pope ?,ENTITY,ENTY,event
1119,What is an arab strap ?,DESCRIPTION,DESC,def
1120,"How much does it cost , average or whatever is available , to produce and send junk mail catalogues in the US ? , DT CD NN NN ,",NUMERIC,NUM,money
1121,Who is the current UN Secretary General ?,HUMAN,HUM,ind
1122,"Who provides telephone service in Orange County , California ?",HUMAN,HUM,gr
1123,Where did guinea pigs originate ?,LOCATION,LOC,other
1124,What two countries ' coastlines border the Bay of Biscay ?,LOCATION,LOC,country
1125,Why did Egyptians shave their eyebrows ?,DESCRIPTION,DESC,reason
1126,What organization did Mr. Waverly assign agents for ?,HUMAN,HUM,gr
1127,When was the slinky invented ?,NUMERIC,NUM,date
1128,What are the characters ' names in the Scooby-Doo cartoon ?,HUMAN,HUM,ind
1129,What is a fear of cold ?,ENTITY,ENTY,dismed
1130,What was Eduard Shevardnadze 's job in the Soviet Union ?,HUMAN,HUM,title
1131,What causes rust ?,DESCRIPTION,DESC,reason
1132,Which is the only Dick Tracy villain to appear three times ?,HUMAN,HUM,ind
1133,What was the monster in Spielberg 's film `` Jaws '' ?,ENTITY,ENTY,animal
1134,What color is an Arctic fox in winter ?,ENTITY,ENTY,color
1135,"What do the names Neil , Mary , and Anthony mean ?",DESCRIPTION,DESC,def
1136,"What European capital celebrated its 2 , 000th anniversary in 1951 ?",LOCATION,LOC,city
1137,Why do people in the upper peninsula of Michagin say `` eh ? '' ?,DESCRIPTION,DESC,reason
1138,What flower did Vincent Van Gogh paint ?,ENTITY,ENTY,plant
1139,What country was the setting of You Only Live Twice ?,LOCATION,LOC,country
1140,What was Thatcher 's approval rating after 10 years in power ?,NUMERIC,NUM,perc
1141,Winnie the Pooh is what kind of animal ?,ENTITY,ENTY,animal
1142,"What was the first Funk 'N Lata , Brazilian group , success ?",DESCRIPTION,DESC,desc
1143,What is a handheld PC ?,DESCRIPTION,DESC,def
1144,What did John Hinckley do to impress Jodie Foster ?,DESCRIPTION,DESC,desc
1145,What is Larry King 's job ?,HUMAN,HUM,title
1146,How many calories are in a tomato ?,NUMERIC,NUM,count
1147,In what state was the first co-educational college established,LOCATION,LOC,state
1148,What war saw a naval battle between the luxury liners Cap Trafalgar and the Carmania ?,ENTITY,ENTY,event
1149,What is the treatment for depression ?,ENTITY,ENTY,techmeth
1150,What is a fear of slime ?,ENTITY,ENTY,dismed
1151,What country in Latin America is the largest one ?,LOCATION,LOC,country
1152,On which Hawaiian island is Pearl Harbor ?,LOCATION,LOC,other
1153,"What feathered cartoon characters do Yugoslavians know as Vlaja , Gaja , and Raja ?",HUMAN,HUM,ind
1154,What Marx Brothers movie centers on a stolen painting ?,ENTITY,ENTY,cremat
1155,What was unusual about Alexandra 's appearance in Josie and the Pussycats ?,DESCRIPTION,DESC,desc
1156,What is the origin of the word `` mind '' ?,DESCRIPTION,DESC,desc
1157,When was Dick Clark born ?,NUMERIC,NUM,date
1158,What game is fatal to anybody over 21 ?,ENTITY,ENTY,sport
1159,What is the death toll of people dying from tuberculosis ?,NUMERIC,NUM,other
1160,What happened to Moon Maiden ?,DESCRIPTION,DESC,desc
1161,What city is wiener schnitzel named for ?,LOCATION,LOC,city
1162,What are the Urals ?,DESCRIPTION,DESC,def
1163,How can you stop the itch from poison ivy ?,DESCRIPTION,DESC,manner
1164,What desert has the highest sand dunes ?,LOCATION,LOC,other
1165,What two countries contain Sierra Nevada mountains ?,LOCATION,LOC,country
1166,How do you tell your parents you are dating an older man ?,DESCRIPTION,DESC,manner
1167,How long was the TV mission of Star Trek 's Enterprise to be ?,NUMERIC,NUM,period
1168,What phone number can I call to have a tree planted ?,NUMERIC,NUM,code
1169,When did the `` Star-Spangled Banner '' become the national anthem ?,NUMERIC,NUM,date
1170,Who was Lacan ?,HUMAN,HUM,desc
1171,What are the four natural aids used in riding a horse ?,ENTITY,ENTY,techmeth
1172,What continent 's name appears on the upper left corner of a Budweiser label ?,LOCATION,LOC,other
1173,Who was the Secretary of War in the Civil War during the Battle of Gettysburg ?,HUMAN,HUM,ind
1174,Who did Bobby Fischer beat to win the world chess championship ?,HUMAN,HUM,ind
1175,How do you exterminate bees that are in the walls of your home ? Will bee eggs remain over winter ?,DESCRIPTION,DESC,manner
1176,Where can I get information and statistics on countries and nations ?,LOCATION,LOC,other
1177,Name a Gaelic language .,ENTITY,ENTY,lang
1178,"What day is August 13 , 1971 ?",NUMERIC,NUM,date
1179,Where can I find a list of all the companies in America that offer a direct stock purchase plan ?,LOCATION,LOC,other
1180,How do you send a movie transcript to Hollywood so that it can be produced into a film ?,DESCRIPTION,DESC,manner
1181,"What literary classic centers on the search for a treasure in gold worth 7 , 0 pounds ?",ENTITY,ENTY,cremat
1182,What is the origin of blue for boys and pink for girls ?,DESCRIPTION,DESC,desc
1183,What is the name of the Michelangelo painting that shows two hands with fingers touching ?,ENTITY,ENTY,cremat
1184,How big is a quart ?,NUMERIC,NUM,volsize
1185,What is the Hub of London ?,DESCRIPTION,DESC,def
1186,Jude Law acted in which film ?,ENTITY,ENTY,cremat
1187,What causes panic attacks ?,DESCRIPTION,DESC,reason
1188,What was the filling in the first golf balls ?,DESCRIPTION,DESC,def
1189,What drug did Sigmund Freud become fascinated with while experimenting with the treatment of neurasthenia ?,ENTITY,ENTY,dismed
1190,What country was A Terrible Beauty to Leon Uris ?,LOCATION,LOC,country
1191,What is typhoid fever ?,DESCRIPTION,DESC,def
1192,Where can I buy a hat like the kind Jay Kay from Jamiroquai wears ?,LOCATION,LOC,other
1193,What are the Twin Cities ?,DESCRIPTION,DESC,def
1194,What is Beethoven 's 9th symphony called ?,ENTITY,ENTY,cremat
1195,Name the lawyer for Randy Craft .,HUMAN,HUM,ind
1196,Which breakfast cereal brought you `` the best each morning '' ?,ENTITY,ENTY,food
1197,"What does Ms. , Miss , and Mrs. stand for ?",ABBREVIATION,ABBR,exp
1198,What is the Homelite Inc. home page ?,LOCATION,LOC,other
1199,"What explosive do you get by mixing charcoal , sulfur and saltpeter ?",ENTITY,ENTY,substance
1200,What mountainous region of the world is the Lhasa Apso dog native to ?,LOCATION,LOC,other
1201,What cancer is commonly associated with AIDS ?,ENTITY,ENTY,dismed
1202,How long does it take light to reach the Earth from the Sun ?,NUMERIC,NUM,period
1203,Who lives at 39 Stone Canyon Way ?,HUMAN,HUM,ind
1204,How many questions are on this thing ?,NUMERIC,NUM,count
1205,Who played Humpty Dumpty in the 1933 film Alice in Wonderland ?,HUMAN,HUM,ind
1206,"Who is Karenna Gore , Al Gore 's oldest daughter , married to ?",HUMAN,HUM,ind
1207,Who played the title role in I Was a Teenage Werewolf ?,HUMAN,HUM,ind
1208,Why are there olives in martinis ?,DESCRIPTION,DESC,reason
1209,In what year did Hitler gain power of Germany ?,NUMERIC,NUM,date
1210,What year did Rossetti paint `` Beata Beatrix '' ?,NUMERIC,NUM,date
1211,What record company produced the 1978 movie The Wiz ?,HUMAN,HUM,gr
1212,Where can I find information about touring the Philippines ?,LOCATION,LOC,other
1213,What did The Gas House Gang play ?,ENTITY,ENTY,other
1214,How many square feet is Bill Gates ' home ?,NUMERIC,NUM,count
1215,"What is the name of actor Rex Harrison 's son , who starred in a modestly popular TV show during the late 1960's ?",HUMAN,HUM,ind
1216,What is the highest Roman numeral ?,DESCRIPTION,DESC,def
1217,What 's the most popular form of bridge ?,ENTITY,ENTY,other
1218,Who was the inventor of the stove ?,HUMAN,HUM,ind
1219,What comedian has a legendary reputation for stealing jokes ?,HUMAN,HUM,ind
1220,Where can I find information on the cyclone that hit New Jersey on 8/28/1941 ?,LOCATION,LOC,other
1221,Boxing Day is celebrated on what date ?,NUMERIC,NUM,date
1222,What are the first ten amendements passed ?,ENTITY,ENTY,cremat
1223,What is another term for the painful wrist syndrome ?,ENTITY,ENTY,dismed
1224,What 's the difference between sleet and freezing rain ?,DESCRIPTION,DESC,desc
1225,How is the new Ford Econoline van F25 V1 engine ?,DESCRIPTION,DESC,manner
1226,Who was the king who was forced to agree to the Magna Carta ?,HUMAN,HUM,ind
1227,Who was made the first honorary citizen of the U.S. ?,HUMAN,HUM,ind
1228,What game is Garry Kasparov really good at ?,ENTITY,ENTY,sport
1229,Where was Richard Nixon when Gerald Ford became president ?,LOCATION,LOC,other
1230,Where does the U.S. rank among world countries in area ?,NUMERIC,NUM,ord
1231,What novel did Ian Fleming introduce James Bond in ?,ENTITY,ENTY,cremat
1232,What was the target rate for M3 growth in 1992 ?,NUMERIC,NUM,perc
1233,What baseball team was routinely called `` dem bums '' by its frustrated fans ?,HUMAN,HUM,gr
1234,Name of scholar on whose literal translations from the Chinese and Japanese Ezra Pound depended ?,HUMAN,HUM,ind
1235,When did Israel begin turning the Gaza Strip and Jericho over to the PLO ?,NUMERIC,NUM,date
1236,What are the major differences in the Catholic and Methodist religions ?,DESCRIPTION,DESC,desc
1237,Name the On Stage character whose face was never seen .,HUMAN,HUM,ind
1238,How much energy is released when oxygen and hydrogen mix ?,NUMERIC,NUM,count
1239,What is the best Internet business to go into ?,HUMAN,HUM,gr
1240,What does Venus Retrograde mean ?,DESCRIPTION,DESC,def
1241,Who is known as `` the world 's oldest teenager '' ?,HUMAN,HUM,ind
1242,What are the largest breweries in the world ?,LOCATION,LOC,other
1243,What does Las Vegas mean ?,DESCRIPTION,DESC,def
1244,What does the word `` meta '' mean ?,DESCRIPTION,DESC,def
1245,What keeps clouds in the air ?,ENTITY,ENTY,other
1246,What 's the term for any four-sided figure ?,ENTITY,ENTY,termeq
1247,Ray Charles plays which instrument ?,ENTITY,ENTY,instru
1248,What country and western singer is known as The Silver Fox ?,LOCATION,LOC,country
1249,What building appropriately enough is depicted on the back of the 1-dollar bill ?,LOCATION,LOC,other
1250,What is graduate school ?,DESCRIPTION,DESC,def
1251,What is the difference between New York-style and Chicago-style pizza ?,DESCRIPTION,DESC,desc
1252,What baseball team owner and sailor is known as The Mouth of the South ?,HUMAN,HUM,ind
1253,What type of betting is used in horse racing ?,ENTITY,ENTY,sport
1254,What kind of hat does Bat Masterson wear ?,ENTITY,ENTY,product
1255,Who was with Patricia Hearst the night she was kidnaped ?,HUMAN,HUM,ind
1256,What is the Viking Prince 's first name ?,HUMAN,HUM,ind
1257,What does the abbreviation cwt. ?,ABBREVIATION,ABBR,exp
1258,In what deodorant commercial did tenants have adjoining medicine cabinets ?,ENTITY,ENTY,other
1259,Where is Rider College located ?,LOCATION,LOC,other
1260,What boxer 's life story is titled Raging Bull ?,HUMAN,HUM,ind
1261,For what reason did some San Diego schools stop serving apples ?,DESCRIPTION,DESC,reason
1262,Who advised listeners to `` see the U.S.A. in your Chevrolet '' ?,HUMAN,HUM,ind
1263,Where was the first restaurant ?,LOCATION,LOC,other
1264,Where can I find full written draft of CTBT ?,LOCATION,LOC,other
1265,How many horses died during the civil war ?,NUMERIC,NUM,count
1266,How much waste does an average dairy cow produce in a day ?,NUMERIC,NUM,count
1267,What Nobel laureate was expelled from the Philippines before the conference on East Timor ?,HUMAN,HUM,ind
1268,"What woman has carried the most multiple births , twins , triplets , etc. , ?",HUMAN,HUM,ind
1269,How many minutes were there on the original GE College Bowl clock ?,NUMERIC,NUM,count
1270,What is the average time it takes for a male to ejaculate ?,NUMERIC,NUM,period
1271,What is website of the International Court of Justice ?,LOCATION,LOC,other
1272,Where are 8 of the 10 highest mountains in the world ?,LOCATION,LOC,other
1273,Where can I look at a perpetual calendar ?,LOCATION,LOC,other
1274,How many astronauts have been on the moon ?,NUMERIC,NUM,count
1275,In what year did the Bounty mutiny happen ?,NUMERIC,NUM,date
1276,What is the only substance that gives food its `` taste '' when eaten ?,ENTITY,ENTY,substance
1277,How do you reference a website ?,DESCRIPTION,DESC,manner
1278,What is pandoro ?,DESCRIPTION,DESC,def
1279,What do the letters ZIP stand for in the phrase `` ZIP code '' ?,ABBREVIATION,ABBR,exp
1280,Which Bourbon king was restored to the French throne during Napoleon 's abdication ?,HUMAN,HUM,ind
1281,What is one of the cities that the University of Minnesota is located in ?,LOCATION,LOC,city
1282,What are the words to `` My Way '' written by Paul Anka ?,DESCRIPTION,DESC,desc
1283,How do I install a tile floor ?,DESCRIPTION,DESC,manner
1284,What is the quickest and easiest way to get nail polish out of clothes ?,ENTITY,ENTY,techmeth
1285,Why was the zipper invented ?,DESCRIPTION,DESC,reason
1286,What 's the No. 1 killer in industrialized countries ?,ENTITY,ENTY,other
1287,Name four famous cartoon cats .,ENTITY,ENTY,animal
1288,What daughter of Henry VIII and Anne Boleyn became queen of England ?,HUMAN,HUM,ind
1289,How did ` stat ' come to be used as an expression for quickly ?,DESCRIPTION,DESC,manner
1290,What 's the most common nickname of U.S. college football teams ?,HUMAN,HUM,gr
1291,What 's the distinction of U.S. Supreme Court Justice Thurgood Marshall ?,DESCRIPTION,DESC,desc
1292,What is the most useful site on the Internet ?,LOCATION,LOC,other
1293,What is the world 's highest peak ?,LOCATION,LOC,mount
1294,What was a Mae West on a World War II battleship ?,DESCRIPTION,DESC,def
1295,Define cosmology .,DESCRIPTION,DESC,def
1296,What comedienne upstaged Dwight D. Eisenhower 's first inauguration by giving birth to her first child ?,HUMAN,HUM,ind
1297,What are amicable numbers ?,DESCRIPTION,DESC,def
1298,When were the Olympic Games in which Nadia Comaneci became popular played ?,NUMERIC,NUM,date
1299,"Where is Hearst Castle , built by publisher William Randolph Hearst ?",LOCATION,LOC,other
1300,What 's the largest U.S. city on the Great Lakes ?,LOCATION,LOC,city
1301,Who sang about Desmond and Molly Jones ?,HUMAN,HUM,ind
1302,"What magazine gives us the cream , not the skim ?",ENTITY,ENTY,cremat
1303,What does the technique called `` cold fusion '' produce ?,ENTITY,ENTY,techmeth
1304,What costume designer decided that Michael Jackson should only wear one glove ?,HUMAN,HUM,ind
1305,"What meter did Shakespeare use in writing : `` To be , or not to be , that is the question.. . '' ?",ENTITY,ENTY,other
1306,How many rows of sprocket holes does a roll of 35-millimeter film have ?,NUMERIC,NUM,count
1307,What is the goat population of the world ?,NUMERIC,NUM,count
1308,What company was the original sponsor of TV 's Superman ?,HUMAN,HUM,gr
1309,What term does a Czech use to describe a Pole ?,ENTITY,ENTY,termeq
1310,What sea separates Naples and Algiers ?,LOCATION,LOC,other
1311,How many lawyers are there in the state of New Jersey ?,NUMERIC,NUM,count
1312,What are the most common elements in seawater ?,ENTITY,ENTY,substance
1313,Describe the Finnish music personality Salonen 's appearance .,DESCRIPTION,DESC,desc
1314,What is the origin of the ethnic category `` caucasian '' ?,DESCRIPTION,DESC,desc
1315,What is a stratocaster ?,DESCRIPTION,DESC,def
1316,What kind of science is cosmology ?,ENTITY,ENTY,other
1317,Name the blind sculptress in love with the Fantastic Four 's Thing .,HUMAN,HUM,ind
1318,What 's the second-lightest element ?,ENTITY,ENTY,substance
1319,What do you call a `` twirl '' in ballet ?,ENTITY,ENTY,termeq
1320,What is the brand name of daminozide ?,ENTITY,ENTY,product
1321,What is the former name of Zimbabwe ?,ENTITY,ENTY,termeq
1322,What National Basketball Association superstar told his story in Giant Steps ?,HUMAN,HUM,ind
1323,What animals did The Amazing Three masquerade as ?,ENTITY,ENTY,animal
1324,How did the bikini bathing suite get its name ?,DESCRIPTION,DESC,manner
1325,When did Fraze get his first patent for the pull-tab can ?,NUMERIC,NUM,date
1326,How many games are played in a five-team round-robin tournament ?,NUMERIC,NUM,count
1327,Who developed the first polio vaccine ?,HUMAN,HUM,ind
1328,Who made the first gas engine ?,HUMAN,HUM,ind
1329,"What country claimed Rubens , Van Dyck and Bruegel as citizens ?",LOCATION,LOC,country
1330,What civil war was fought between 1936 and 1939 ?,ENTITY,ENTY,event
1331,How many questions do you have on your database ?,NUMERIC,NUM,count
1332,How do clouds form ?,DESCRIPTION,DESC,manner
1333,Where can I find examples of legal cases about the Individuals with Disabilities Education Act ?,LOCATION,LOC,other
1334,What character did Tex Avery first create upon arriving at MGM ?,HUMAN,HUM,ind
1335,When was the Triangle Shirtwaist fire ?,NUMERIC,NUM,date
1336,What Asian spiritual and political leader was married at the age of 13 ?,HUMAN,HUM,ind
1337,Where is Ocho Rios ?,LOCATION,LOC,other
1338,What is the half-life of P-32 ?,DESCRIPTION,DESC,def
1339,What ocean does Mauritania border ?,LOCATION,LOC,other
1340,Why do pressure cookers save time in the kitchen ?,DESCRIPTION,DESC,reason
1341,Why are there 12 people on a jury in criminal cases ?,DESCRIPTION,DESC,reason
1342,What do Christian Scientists believe in ?,DESCRIPTION,DESC,desc
1343,"What World War I battle saw 6 , 0 troops killed in one day ?",ENTITY,ENTY,event
1344,What country is Kosovo a part of ?,LOCATION,LOC,country
1345,Tell me what city the Kentucky Horse Park is near ?,LOCATION,LOC,city
1346,What computer operating system is on the most computers ?,ENTITY,ENTY,product
1347,What is Bill Gross 's email address ?,LOCATION,LOC,other
1348,What is the economic impact of unemployment on the economy ?,DESCRIPTION,DESC,desc
1349,"What do the letters D.C. stand for in Washington , D.C. ?",ABBREVIATION,ABBR,exp
1350,What animals can live the longest without food ?,ENTITY,ENTY,animal
1351,What English queen had seventeen children ?,HUMAN,HUM,ind
1352,"What is the approximate population of Las Vegas , N.M ?",NUMERIC,NUM,other
1353,How much does the President get paid ?,NUMERIC,NUM,money
1354,What two baseball players make up the battery ?,HUMAN,HUM,ind
1355,What 's the largest letter in Salvador Dali 's signature ?,ENTITY,ENTY,letter
1356,What does an irate car owner call iron oxide ?,ENTITY,ENTY,termeq
1357,"Of children between the ages of two and eleven , what percentage watch `` The Simpsons '' ?",NUMERIC,NUM,perc
1358,What 's the northernmost U.S. state apart from Alaska ?,LOCATION,LOC,state
1359,Name an art gallery in New York .,LOCATION,LOC,other
1360,Who sells Viagra ?,HUMAN,HUM,ind
1361,What musical instrument did Prewitt play in James Jones 's From Here to Eternity ?,ENTITY,ENTY,instru
1362,What is the Home Rule Act ?,DESCRIPTION,DESC,def
1363,What building are British monarchs crowned in ?,LOCATION,LOC,other
1364,What are Bellworts ?,DESCRIPTION,DESC,def
1365,Who was Darius ?,HUMAN,HUM,desc
1366,What movie told of Anna Anderson 's claim to be a Russian czar 's daughter ?,ENTITY,ENTY,cremat
1367,Who did Dita Beard work for ?,HUMAN,HUM,ind
1368,What kind of creature is a coot ?,ENTITY,ENTY,animal
1369,Name the university of which Woodrow Wilson was president .,HUMAN,HUM,gr
1370,"What country was first to use the airplane as a weapon of war , against the Turks in Libya ?",LOCATION,LOC,country
1371,What university was Woodrow Wilson President of ?,HUMAN,HUM,gr
1372,What is a fear of disease ?,ENTITY,ENTY,dismed
1373,What kind of meat is Fray Bentos synonymous with ?,ENTITY,ENTY,food
1374,What did Mr. Magoo flog on TV for General Electric ?,ENTITY,ENTY,other
1375,What are the words to the Canadian National anthem ?,DESCRIPTION,DESC,desc
1376,What is the name of the Jewish alphabet ?,ENTITY,ENTY,termeq
1377,Who served as inspiration for the schoolteacher portrayed by Robin Williams in `` Dead Poets Society '' ?,HUMAN,HUM,ind
1378,What is Columbia Tristar 's phone number ?,NUMERIC,NUM,code
1379,Name the five positions who are in the line of succession to the presidency .,HUMAN,HUM,title
1380,Which one of the original seven Mercury program astronauts did not fly on any of the Mercury flights ?,HUMAN,HUM,ind
1381,Who is the best known villain of the 165 Gunpowder Plot ?,HUMAN,HUM,ind
1382,What is the capital of Burkina Faso ?,LOCATION,LOC,city
1383,What continent is Bolivia on ?,LOCATION,LOC,other
1384,Why was Muhammad Ali stripped of his title and barred from boxing in 1967 ?,DESCRIPTION,DESC,reason
1385,"Who killed more people , Hitler or Stalin ?",HUMAN,HUM,ind
1386,What caused Shea &amp; Gould to close their L.A. office ?,DESCRIPTION,DESC,reason
1387,What 's the only mammal that can 't jump ?,ENTITY,ENTY,animal
1388,What U.S. state has the most blondes ?,LOCATION,LOC,state
1389,What war saw battles at Parrot 's Beak and Black Virgin ?,ENTITY,ENTY,event
1390,What was the U.S. highway death toll in 1969 ?,NUMERIC,NUM,count
1391,What does the name Kelly mean ?,DESCRIPTION,DESC,def
1392,What is a phalanx ?,DESCRIPTION,DESC,def
1393,What mustachioed comedian portrayed Frankie in North to Alaska ?,HUMAN,HUM,ind
1394,What does each of the utilities cost in Monopoly ?,NUMERIC,NUM,money
1395,"What actor and World War II airman had a $5 , 0 bounty put on his head by Hermann Goering ?",HUMAN,HUM,ind
1396,What does e.g. stand for ?,ABBREVIATION,ABBR,exp
1397,What is the name of the medical condition in which a baby is born without a brain ?,ENTITY,ENTY,dismed
1398,How do storms form ?,DESCRIPTION,DESC,manner
1399,Who is Nicolo Paganini ?,HUMAN,HUM,desc
1400,What city is often called The Insurance Capital of the World ?,LOCATION,LOC,city
1401,What are the three animals in Sheila Burnford 's The Incredible Journey ?,ENTITY,ENTY,animal
1402,Who portrayed Dracula in Hammer Studios ' films ?,HUMAN,HUM,ind
1403,Name one of the Seven Wonders of the Ancient World .,ENTITY,ENTY,other
